Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,2,NA,NA,NA,NA,91808,Train2,6,ITI,693.211,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,92439,Train2,6,C+D+RXN?,2000,T,Yes+C2+D2,2000,F,1,y+n,613,T,y
helix,1,2,NA,NA,NA,NA,95382,PreTest,1,ITI,895.257,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,100361,PreTest,1,TestInfo,600000,T,NA,NA,F,NA,<space>,4973,F,<space>
helix,1,2,NA,NA,NA,NA,101252,Test,1,ITI,832.124,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,104636,Test,1,E3+M3+ProbScale,3500,T,ProbOK,500,F,1,n+1+2+3+4+5+6+7+8+9+y,3369,T,4
helix,1,2,NA,NA,NA,NA,106013,Test,2,ITI,867.814,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,107473,Test,2,F3+ProbScale,3500,T,ProbOK,500,F,1,n+1+2+3+4+5+6+7+8+9+y,1450,T,4
helix,1,2,NA,NA,NA,NA,108650,Test,3,ITI,649.919,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,109966,Test,3,B3+ProbScale,3500,T,ProbOK,500,F,1,n+1+2+3+4+5+6+7+8+9+y,1303,T,5
helix,1,2,NA,NA,NA,NA,111048,Test,4,ITI,560.436,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,2,NA,NA,NA,NA,112021,Test,4,L3+ProbScale,3500,T,ProbOK,NA,F,1,n+1+2+3+4+5+6+7+8+9+y,NA,F,<lctrl>
helix,1,2,NA,NA,NA,NA,112106,Test,4,L3+ProbScale,3500,T,ProbOK,NA,F,1,n+1+2+3+4+5+6+7+8+9+y,NA,F,<lalt>
helix,1,2,NA,NA,NA,NA,112327,Test,4,L3+ProbScale,3500,T,ProbOK,NA,F,1,n+1+2+3+4+5+6+7+8+9+y,NA,F,<rshift>
